chromosome	start	end	same_chr/new_chr	length_ratio/new_pos	file
chr7	71786	2255795	False	-40.2640	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141724921	142154515	True	0.4641	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr10	81425081	88711015	True	-0.0494	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr17	59741796	59807330	False	-951.9954	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr19	23935854	32845046	True	0.4500	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38252718	False	-1.3604	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38264348	False	-1.3596	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142156327	142179022	True	0.1553	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	2864666	False	-31.2681	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141715776	141776624	True	2.8972	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142156282	142176424	True	-0.0514	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr19	24298962	32779217	True	0.4222	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	3411263	False	-25.9865	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	13947129	False	-5.4950	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38260614	False	-1.3599	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142156496	142176424	True	-0.0627	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr17	22091707	24118954	True	2.4305	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38261509	False	-1.3598	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38261509	False	-1.3598	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141690519	141711905	True	0.0807	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr10	81184169	81587036	True	0.2058	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38261509	False	-1.3598	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	10762658	False	-7.4297	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	3294841	False	-26.9613	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141715776	141937958	False	-639.3295	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142156496	142176424	True	-0.0627	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	34650643	False	-1.6062	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141727147	142238604	True	0.4990	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	13947129	False	-5.4950	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141690519	141711905	True	0.0807	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142156282	142176424	True	-0.0514	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr17	21359583	24009376	True	2.1006	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	16174888	False	-4.5965	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142165256	142167474	True	0.2782	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38261509	False	-1.3598	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141690519	141711905	True	0.0807	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	13947129	False	-5.4950	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141690519	141712574	True	0.1206	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38269645	False	-1.3593	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	6803581	False	-12.3873	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	216507	False	-622.6098	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38250256	False	-1.3605	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38269645	False	-1.3593	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141605914	141975408	False	-384.1996	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	14100371	False	-5.4241	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141690519	141712574	True	0.1206	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	6803581	False	-12.3873	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr17	20910948	22322426	True	3.0662	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38285864	False	-1.3583	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr4	68942656	69475447	True	0.1191	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	4367654	False	-19.9785	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142156282	142176424	True	-0.0514	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38261509	False	-1.3598	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141715776	141966393	False	-239.8803	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr15	19109610	19803358	True	2.0936	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	158833	False	-1035.7897	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142156282	142179022	True	0.1570	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38257239	False	-1.3601	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	13947129	False	-5.4950	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141744975	141803790	True	-0.9998	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38261509	False	-1.3598	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142156496	142176424	True	-0.0627	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	18791978	False	-3.8141	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	15634220	False	-4.7909	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	28845849	False	-2.1320	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
